<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201227,60.00,108.00,1.00,36.00,4271444000,117186,2343,D,107.00,1.00
IKCO-O-991007,20201226,290.00,290.00,67.00,107.00,4799436000,44971,1013,D,299.00,68.00
IKCO-O-991007,20201223,470.00,498.00,240.00,299.00,16004879000,53444,1170,D,414.00,250.00
IKCO-O-991007,20201222,300.00,470.00,271.00,414.00,28838947000,69638,1515,D,323.00,440.00
IKCO-O-991007,20201221,401.00,540.00,250.00,323.00,5648206000,17484,447,D,522.00,300.00
IKCO-O-991007,20201220,655.00,670.00,451.00,522.00,1647003000,3157,143,D,737.00,509.00
IKCO-O-991007,20201219,651.00,879.00,651.00,737.00,1945022000,2640,120,D,758.00,701.00
IKCO-O-991007,20201216,501.00,840.00,501.00,758.00,3300004000,4352,165,D,562.00,799.00
IKCO-O-991007,20201215,699.00,715.00,481.00,562.00,9198992000,16356,435,D,773.00,650.00
IKCO-O-991007,20201214,1000.00,1040.00,111.00,773.00,2207406000,2855,134,D,993.00,700.00
IKCO-O-991007,20201213,1000.00,1080.00,910.00,993.00,2379888000,2396,120,D,1077.00,988.00
IKCO-O-991007,20201212,1200.00,1200.00,1001.00,1077.00,2322435000,2157,94,D,1187.00,1050.00
IKCO-O-991007,20201209,1035.00,1286.00,1035.00,1187.00,3506632000,2954,125,D,1160.00,1190.00
IKCO-O-991007,20201208,1190.00,1250.00,1063.00,1160.00,7416937000,6392,189,D,1174.00,1200.00
IKCO-O-991007,20201207,1211.00,1329.00,1034.00,1174.00,9496559000,8092,243,D,1291.00,1172.00
IKCO-O-991007,20201206,1433.00,1433.00,1230.00,1291.00,9268458000,7180,260,D,1190.00,1340.00
IKCO-O-991007,20201205,1149.00,1270.00,1050.00,1190.00,14783662000,12427,389,D,1105.00,1259.00
IKCO-O-991007,20201202,1083.00,1190.00,1041.00,1105.00,4204097000,3803,163,D,1154.00,1051.00
IKCO-O-991007,20201201,1136.00,1200.00,1074.00,1154.00,7730556000,6699,210,D,1209.00,1159.00
IKCO-O-991007,20201130,1200.00,1259.00,1150.00,1209.00,13262265000,10973,362,D,1122.00,1160.00
IKCO-O-991007,20201129,1012.00,1188.00,1012.00,1122.00,16051129000,14307,388,D,1004.00,1175.00
IKCO-O-991007,20201128,961.00,1090.00,950.00,1004.00,7632364000,7601,238,D,1109.00,1020.00
